ItemID,DataID,N_RivID,N_SiteID,samID,Continent,Country,RefID,RiverName,Primer,Year,Month,Lon,Lat,SR
I008,D003,NR004,S060,I008_S060,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.1563,41.37473333,0
I008,D003,NR004,S061,I008_S061,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.515063,41.123059,0
I008,D003,NR004,S062,I008_S062,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.692506,41.493653,0
I008,D003,NR004,S063,I008_S063,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.15976667,41.3908,1
I008,D003,NR004,S064,I008_S064,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.15462989,41.38242415,1
I008,D003,NR004,S065,I008_S065,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.712785,41.503674,1
I008,D003,NR004,S066,I008_S066,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.51962757,41.12168653,3
I008,D003,NR004,S067,I008_S067,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.16215114,41.37009471,1
I008,D003,NR004,S068,I008_S068,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.1946922,41.31015153,2
I008,D003,NR004,S069,I008_S069,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.18341435,41.31662386,2
I008,D003,NR004,S070,I008_S070,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.28321608,41.24900957,3
I008,D003,NR004,S071,I008_S071,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.57106698,41.15556702,1
I008,D003,NR004,S072,I008_S072,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.15735861,41.38616793,2
I008,D003,NR004,S073,I008_S073,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.1626,41.3609,0
I008,D003,NR004,S074,I008_S074,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.26298711,41.25213861,2
I008,D003,NR004,S075,I008_S075,North_America,US,Ref003,Cuyahoga River,Cytb02,2013,7,-81.702833,41.495575,0
I009,D004,NR005,S001,I009_S001,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,2,-43.51643333,-18.12085,28
I009,D004,NR005,S002,I009_S002,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,2,-43.20739167,-17.31342778,9
I009,D004,NR005,S003,I009_S003,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,2,-42.73108333,-16.87716667,11
I009,D004,NR005,S004,I009_S004,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,2,-42.82944444,-16.60666667,19
